DR Number,Date Reported,Date Occurred,Time Occurred,Reporting District,Address,Cross Street,Location,MO Codes
171518512,9/8/2017,9/5/2017,700,1566,LANDALE ST,VINELAND AV,"(34.1513, -118.3703)",0605 3701 3004 3028 3101 3401 4015
151523546,12/20/2015,12/20/2015,710,1591,LAUREL CANYON BL,VENTURA BL,"(34.1444, -118.3956)",3004 3036 3025 3101 3401 3701 4026
191510316,5/2/2019,5/1/2019,730,1555,VINELAND AV,HORTENSE ST,"(34.1545, -118.3703)",3004 3036 3602 3034 3101 3701 4015 3401
151507826,3/8/2015,3/6/2015,730,1539,WILLOW CREST DR,OXNARD ST,"(34.1758, -118.3643)",3030 3037 3028 3101 3401 3701 4026 3006
191515714,8/15/2019,6/21/2019,730,1504,LANKERSHIM,RUNNYMEDE,"(34.2058, -118.3878)",1300 0605 1501
151523100,12/11/2015,12/11/2015,745,1517,VINELAND AV,VANOWEN ST,"(34.194, -118.3703)",3004 3036 3025 3101 3401 3701 4026
181510719,5/7/2018,5/7/2018,750,1526,VICTORY BL,TUJUNGA AV,"(34.1867, -118.379)",3004 3037 3030 3028 3101 3401 3701 4026
181520193,10/26/2018,10/26/2018,755,1521,KITTRIDGE ST,NAGLE AV,"(34.198, -118.4216)",3004 3036 3030 3028 3101 3401 3701 4026
181517563,9/9/2018,9/9/2018,805,1513,VANOWEN ST,RHODES AV,"(34.194, -118.403)",3004 3025 3037 3101 3401 3701 4026
181516357,8/17/2018,8/17/2018,810,1521,SHERMAN WY,FULTON AV,"(34.2012, -118.4225)",3004 3036 3026 3101 3401 3701 4026
151510863,5/3/2015,4/21/2015,830,1595,LAURELCREST DR,DECENTE DR,"(34.136, -118.3834)",3006 3030 3028 3101 3401 3701 4015 0605 3037
181522567,11/29/2018,11/29/2018,840,1555,LANKERSHIM BL,HESBY ST,"(34.1619, -118.3728)",3004 3037 3101 3401 3701 4009
171511253,5/3/2017,5/3/2017,845,1543,MAGNOLIA BL,CORTEEN PL,"(34.1649, -118.4019)",3013 3037 3025 3101 3401 3701 4015
191518530,10/7/2019,10/3/2019,845,1517,VANOWEN,TUJUNGA,"(34.194, -118.379)",3004 3036 3026 3101 3401 3701 4026
161521183,11/7/2016,11/7/2016,900,1527,VINELAND,VICTORY,"(34.1867, -118.3703)",3008 3037 3025 3101 3401 3701 4026
161517286,8/29/2016,8/29/2016,920,1523,COLDWATER CANYON AV,VICTORY BL,"(34.1867, -118.4137)",3004 3036 3028 3101 3701 3401 4015
171514520,6/28/2017,6/28/2017,930,1513,SHERMAN WY,WHITSETT,"(34.2012, -118.4052)",3004 3037 3030 3028 3101 3401 3701 4015
171513929,6/21/2017,6/20/2017,938,1591,COLDWATER CA AV,VENTURA BL,"(34.1325, -118.3974)",3004 3030 3036 3028 3101 3401 3701 4015 0605
161514704,7/13/2016,7/13/2016,940,1566,RIVERSIDE DR,VINELAND AV,"(34.1524, -118.3703)",3004 3037 3026 3101 3401 3701 4015
161508844,3/30/2016,3/30/2016,945,1525,VICTORY BL,LAUREL CANYON BL,"(34.1867, -118.3965)",3004 3036 3030 3028 3101 3401 3701 4015
161508580,12/3/2015,12/3/2015,1000,1545,BEN AV,ALBERS ST,"(34.1704, -118.3943)",3006 3030 3028 3037 3101 3401 3701 4015
151504850,1/16/2015,1/16/2015,1005,1599,CAHUENGA BL,BARBARA CT,"(34.1271, -118.3467)",3004 3036 3025 3101 3401 3701 4026
171516761,8/10/2017,8/10/2017,1005,1566,VINELAND AV,RIVERSIDE DR,"(34.1524, -118.3703)",3004 3036 3025 3101 3401 3701 4026
171504779,1/12/2017,1/12/2017,1025,1531,BURBANK BL,WHITSETT AV,"(34.1722, -118.4052)",3028 3037 3101 3401 3701 4015 3006 3030
151515778,8/1/2015,8/1/2015,1045,1522,SHERMAN WY,ETHEL AV,"(34.2012, -118.4182)",3004 3037 3029 3026 3101 3401 3701 4026
161516301,8/10/2016,8/10/2016,1100,1515,RADFORD AV,ARCHWOOD ST,"(34.1921, -118.3921)",3030 3037 3028 3101 3401 3701 4015 3006
181516243,8/15/2018,8/14/2018,1100,1513,SHERMAN WY,WHITSETT AV,"(34.2012, -118.4052)",3004 3037 3030 3028 3101 3401 3701 4026
151522288,11/23/2015,11/23/2015,1115,1531,OXNARD ST,BEEMAN AV,"(34.1794, -118.4073)",3004 3037 3026 3101 3401 3701 4015
161511074,5/7/2016,5/7/2016,1200,1595,VENTURA BL,LAUREL CANYON BL,"(34.1436, -118.3953)",3006 3034 3032 3028 3102 3401 3701 4026 3037
161513981,6/29/2016,6/29/2016,1200,1522,ATOLL AV,VANOWEN ST,"(34.194, -118.421)",3006 3030 3037 3101 3401 3701 4016 3028
171519417,9/26/2017,9/26/2017,1200,1505,11600 SHERMAN WY,,"(34.2012, -118.3845)",3011 3037 3030 3032 3028 3102 3401 3701 4026
151505671,1/30/2015,1/30/2015,1215,1596,VENTURA BL,EUREKA DR,"(34.1406, -118.376)",3004 3026 3033 3035 3037 3101 3401 3701 4026
171518290,8/25/2017,8/25/2017,1215,1512,VANOWEN ST,COLDWATER CANYON AV,"(34.194, -118.4138)",3004 3028 3030 3037 3101 3401 3701 4015
151508135,3/13/2015,3/13/2015,1220,1527,VINELAND AV,VICTORY BL,"(34.1867, -118.3703)",3004 3037 3030 3028 3102 3401 3701 4026 3032
171524053,12/23/2017,12/23/2017,1235,1501,FULTON AV,ARMINTA ST,"(34.214, -118.4205)",3006 3037 3030 3028 3101 3701 4026 3401
151517224,8/26/2015,8/26/2015,1240,1555,HARTSOOK ST,LANKERSHIM BL,"(34.164, -118.374)",3004 3030 3028 3037 4026 3101 3401
161508168,3/17/2016,3/17/2016,1245,1591,LAUREL CANYON BL,SUNSHINE TERRACE,"(34.1372, -118.3929)",3004 3037 3029 3026 3101 3401 3701 4026
171512911,6/3/2017,6/3/2017,1250,1581,WHITSETT AV,MOORPARK ST,"(34.1504, -118.4052)",3006 3037 3025 3101 3401 3701 4026
171518427,9/7/2017,9/7/2017,1300,1565,VINELAND AV,VENTURA FY,"(34.1493, -118.3759)",3004 3037 3025 3101 3401 3701 4026
151517520,9/1/2015,9/1/2015,1300,1553,RIVERSIDE DR,KRAFT AV,"(34.1577, -118.3801)",3004 3036 3026 3101 3401 3701 4026
151522805,12/5/2015,12/5/2015,1300,1545,MAGNOLIA BL,COLFAX AV,"(34.1649, -118.3877)",3004 3037 3026 3101 3401 3701 4015
181518942,10/3/2018,10/3/2018,1330,1585,VENTURA BL,VINELAND AV,"(34.1405, -118.3702)",3006 3030 3037 3028 3101 3401 3701 4026
181519203,10/8/2018,10/8/2018,1330,1529,VICTORY BL,CLEON AV,"(34.1867, -118.3681)",3004 3030 3028 3037 3401 3701 4026 3101
191511176,5/19/2019,5/19/2019,1330,1521,VANOWEN ST,ETHEL AV,"(34.194, -118.4181)",3004 3037 3025 3101 3401 3701 4026 3602
151517379,8/30/2015,8/30/2015,1400,1505,VALERIO ST,LANKERSHIM BL,"(34.2049, -118.3878)",3006 3028 3030 3032 3037 3101 3401 3701 4026
191519485,10/25/2019,10/24/2019,1408,1559,STROHM AV,HUSTON ST,"(34.1595, -118.3593)",3037 3004 3028 3030 3101 3401 3701 4015
181523340,12/25/2018,12/25/2018,1420,1523,VAN NUYS BL,VICTORY BL,"(34.1849, -118.4095)",3004 3028 3030 3037 3101 3401 3701 4009
161508841,3/30/2016,3/30/2016,1440,1501,SATICOY ST,FULTON AV,"(34.2084, -118.4236)",3037 3030 3028 3101 3401 3701 4026 3004
181512064,5/31/2018,5/31/2018,1445,1581,LAUREL CANYON,VALLEY SPRING,"(34.1467, -118.3964)",
151505060,1/20/2015,1/20/2015,1445,1551,RIVERSIDE DR,LAUREL CANYON BL,"(34.1576, -118.3965)",3006 3028 3030 3033 3035 3037 3101 3401 3701 4026
161504963,1/18/2016,1/18/2016,1500,1566,VINELAND AV,MOORPARK ST,"(34.1504, -118.3703)",3004 3028 3030 3037 3101 3401 3701 4026
191507540,3/8/2019,3/8/2019,1500,1557,HESBY ST,VINELAND AV,"(34.1618, -118.3704)",3004 3037 3030 3028 3401 3701 4026 3101
151512825,6/5/2015,5/31/2015,1500,1548,LANKERSHIM BL,WEDDINGTON ST,"(34.167, -118.3752)",3006 3028 3101 3401 3701 4015 0605 3030 3037
171514243,6/27/2017,6/27/2017,1520,1581,COLDWATER CA,MOORPARK,"(34.1478, -118.4071)",3004 3037 3030 3028 3101 3401 3701 4026
181516355,8/17/2018,8/16/2018,1525,1506,TUJUNGA BL,SHERMAN WY,"(34.2012, -118.379)",3004 3030 3028 3101 3401 3701 4015 3037
181520677,11/4/2018,11/3/2018,1530,1549,5200 AUCKLAND AV,,"(34.1649, -118.3604)",3004 3030 3028 3101 3401 3701 4015 0605
181514790,7/19/2018,7/19/2018,1530,1547,BURBANK BL,CAMELLIA AV,"(34.1722, -118.3822)",3004 3037 3026 3101 3401 3701 4015
171519034,9/18/2017,9/18/2017,1530,1545,BURBANK BL,CARPENTER AV,"(34.1722, -118.391)",3004 3025 3101 3401 3701 4015
191507713,3/12/2019,3/11/2019,1530,1513,VANOWEN ST,WHITSETT AV,"(34.194, -118.4052)",4009 3004 3030 3028 3037 3101 3401 3701
181518899,10/2/2018,10/2/2018,1540,1522,SHERMAN WY,COLDWATER CA AV,"(34.1936, -118.4166)",3004 3037 3030 3028 3101 3401 3701 4026
181508471,3/27/2018,3/27/2018,1540,1503,VANOWEN ST,LAUREL CANYON BL,"(34.194, -118.3965)",3004 3036 3026 3101 3401 3701 4026
171523096,12/4/2017,12/4/2017,1540,1512,VANOWEN ST,BELLAIRE AV,"(34.194, -118.4094)",3004 3037 3025 4026 3101 3401 3701
171517624,8/25/2017,8/25/2017,1541,1526,VICTORY BL,LANKERSHIM BL,"(34.1867, -118.3878)",3004 3026 3037 3101 3401 3701 4026
151518045,9/9/2015,9/9/2015,1545,1526,VICTORY BL,TROOST AV,"(34.1867, -118.3865)",3004 3037 3030 3028 3101 3401 3701 4026
181510450,5/2/2018,5/2/2018,1555,1591,CANTURA ST,LAURELGROVE AV,"(34.1422, -118.4007)",3006 3037 3030 3028 3101 3401 3701 4026
151516013,8/3/2015,8/3/2015,1600,1596,VENTURA BL,WILLOWCREST AV,"(34.1385, -118.3652)",3004 3036 3029 3025 3401 3701 4015 3104
161518629,9/22/2016,9/22/2016,1600,1583,VENTURA BL,COLFAX AV,"(34.1413, -118.3877)",3004 3036 3026 3101 3401 3701 4026
161518350,9/18/2016,9/18/2016,1610,1501,SATICOY ST,ATOLL AV,"(34.2079, -118.421)",3004 3025 3029 3037 3101 3401 3701 4026
151521778,11/16/2015,11/16/2015,1620,1547,MAGNOLIA,HOLLYWOOD FY,"(34.1649, -118.3825)",3004 3037 3026 3101 3401 3701 4026
181517748,9/12/2018,9/9/2018,1630,1526,KRAFT AV,ERWIN ST,"(34.1831, -118.3801)",3006 3037 3030 3028 3101 3401 3701 4015
171521127,10/26/2017,10/26/2017,1630,1505,11600 SHERMAN WY,,"(34.2012, -118.3845)",3006 3030 3028 3101 3401 4015
191515572,8/13/2019,8/13/2019,1645,1525,OXNARD ST,COLFAX AV,"(34.1794, -118.3889)",3036 3030 3028 3101 3401 3701 4026 0947 3012
171519767,10/2/2017,10/2/2017,1650,1581,BEEMAN,MOORPARK,"(34.1504, -118.4073)",3006 3037 3030 3028 3101 3401 3701 4015
151506848,2/16/2015,2/16/2015,1700,1583,MOORPARK ST,COLFAX AV,"(34.1504, -118.3877)",0605 3006 3030 3028 3037 3101 3401 3701 4015
171509833,4/6/2017,4/6/2017,1725,1566,MOORPARK ST,BELLFLOWER AV,"(34.1504, -118.3734)",3009 3037 3024 3101 3401 3701 4015
191515483,8/12/2019,8/11/2019,1730,1595,CARPENTER AV,VENTURA BL,"(34.1427, -118.3908)",3004 3037 3030 3028 3101 3401 3701 4026
171523061,12/3/2017,12/3/2017,1750,1549,TUJUNGA AV,CHANDLER BL,"(34.1689, -118.379)",3004 3037 3030 3028 3101 3401 3701 4015 0605
181522438,12/7/2018,12/6/2018,1800,1591,LAUREL CANYON BL,DONA DOROTEA DR,"(34.127, -118.3792)",3004 3028 3030 3037 3101 3401 3701 4015
191519668,10/29/2019,10/16/2019,1800,1587,00 UNIVERSAL CITY PA,,"(34.1382, -118.3602)",3006 3028 3030 3032 3037 3101 3401 3701 4015
161521979,11/22/2016,11/22/2016,1800,1586,LANKERSHIM,UNIVERSAL HO,"(34.1425, -118.3643)",3006 3030 0337 3028 3101 3401 3701 4026
151519229,10/3/2015,10/1/2015,1800,1506,VINELAND AV,LEADWELL ST,"(34.2039, -118.3703)",3004 3037 3602 3026 3101 3401 3701 4015
171504344,1/7/2017,1/6/2017,1800,1501,NAGLE AV,BLYTHE ST,"(34.215, -118.4227)",3003 3037 3029 3026 3101 3401 3701 4026
161505622,1/29/2016,1/29/2016,1810,1586,LANKERSHIM BL,CAMPO DE CAHUENGA BL,"(34.1391, -118.3621)",3004 3037 3029 3026 3101 3401 3701 4026
181514457,7/15/2018,7/15/2018,1810,1524,LAUREL CANYON BL,VICTORY BL,"(34.1867, -118.3965)",3004 3036 3034 3025 3101 3401 3701 4026
171517984,8/29/2017,8/29/2017,1815,1557,CAMARILLO ST,CAHUENGA BL,"(34.1577, -118.3615)",4015 3004 3028 3030 3036 3101 3401 3701
191507217,3/2/2019,3/1/2019,1815,1538,HATTERAS ST,ELMER AV,"(34.1758, -118.3763)",3004 3037 3030 3028 3101 3401 4015
151520642,10/26/2015,10/26/2015,1820,1567,CAHUENGA BL,MOORPARK ST,"(34.1504, -118.3615)",3004 3036 3026 3101 3401 3701 4015
161514863,7/16/2016,7/16/2016,1820,1557,HESBY ST,VINELAND AV,"(34.1618, -118.3704)",3004 3036 3034 3028 3101 3401 3701 4026
161505926,1/30/2016,1/30/2016,1825,1543,LAUREL CANYON BL,CHANDLER BL,"(34.1687, -118.3965)",3004 3037 3025 3101 3401 3701 4015
171506222,2/7/2017,2/6/2017,1830,1512,COLDWATER CANYON AV,KITTRIDGE ST,"(34.1904, -118.4138)",3004 3030 3037 3028 3101 3401 3701 4026
181510262,4/29/2018,4/27/2018,1840,1503,VANOWEN ST,LAURELGROVE AV,"(34.194, -118.4008)",3025 3036 3004 3101 3401 3701 4015
171517048,8/15/2017,8/15/2017,1845,1546,MAGNOLIA BL,LEMP AV,"(34.1649, -118.3845)",3004 3037 3026 3101 3401 3701 4026
161515951,8/3/2016,8/3/2016,1900,1527,ENSIGN AV,CALVERT ST,"(34.1813, -118.3712)",3037 3030 3028 3101 3401 3701 4015 3006
171524228,12/26/2017,12/15/2017,1905,1583,VENTURA BL,CARPENTER AV,"(34.1427, -118.3908)",3003 3037 3025 3101 3401 3701 4015
151504669,1/13/2015,1/13/2015,1905,1503,WHITSETT AV,SATICOY ST,"(34.2085, -118.4052)",3037 3025 3101 3401 3701 4026 3004 3034
161517084,8/24/2016,8/22/2016,1940,1559,FORMAN AV,SARAH ST,"(34.154, -118.3527)",3008 3036 3025 3101 3401 3701 4015
151517753,9/4/2015,9/4/2015,1940,1555,MAGNOLIA ST,KLUMP AV,"(34.1649, -118.3757)",3004 3037 3030 3028 3101 3401 3701 4026
161519021,9/30/2016,9/29/2016,1940,1523,VICTORY BL,COLDWATER CANYON AV,"(34.1867, -118.4137)",3004 3037 3026 3101 3401 3701 4026
181517949,9/16/2018,9/15/2018,2000,1557,LANKERSHIM BL,BLIX ST,"(34.1567, -118.3702)",3006 3030 3028 3037 3101 3401 3701 4026
161511789,5/21/2016,5/21/2016,2010,1519,VICTORY BL,CAHUENGA BL,"(34.186, -118.3615)",3004 3030 3028 3101 3401 3701 4015 3037
191521432,12/2/2019,12/2/2019,2100,1549,CAHUENGA BL,CUMPSTON ST,"(34.17, -118.3615)",3004 3026 3037 3101 4015
171518005,8/31/2017,8/30/2017,2105,1503,LAUREL CANYON BL,VANOWEN ST,"(34.194, -118.3965)",3004 3028 3030 3036 3101 3401 3701 4026
151517191,8/26/2015,8/25/2015,2130,1586,LANKERSHIM BL,VALLEY HEART DR,"(34.1419, -118.3609)",3004 3037 3026 3101 3401 3701 4026
161509492,4/11/2016,4/10/2016,2130,1543,HERMITAGE AV,WEDDINGTON ST,"(34.1667, -118.4003)",3006 3030 3037 3028 3101 3401 3701 4026 3032
181517764,9/13/2018,9/12/2018,2130,1531,OXNARD ST,WHITSETT AV,"(34.1794, -118.4052)",3004 3037 3030 3026 3101 3401 3701 4026
151519590,10/10/2015,10/9/2015,2135,1587,LANKERSHIM ST,UNIVERSAL HO WY,"(34.1361, -118.357)",3003 3037 3026 3101 3401 3701 4026
161513308,6/18/2016,6/17/2016,2145,1555,TUJUNGA AV,CAMARILLO ST,"(34.1588, -118.379)",3004 3037 3029 3026 3101 3401 3701 4026
151510513,4/28/2015,4/27/2015,2150,1535,OXNARD ST,HAZELHURST PL,"(34.1794, -118.3856)",3011 3037 3026 3101 3401 3701 4026
151506136,2/9/2015,2/8/2015,2155,1525,COLFAX AV,OXNARD ST,"(34.1794, -118.3877)",3004 3036 3026 3101 3401 3701 4026
151515688,7/30/2015,7/30/2015,2200,1516,TUJUNGA AV,KITTRIDGE ST,"(34.1903, -118.379)",3006 3037 3030 3028 3101 3401 3701 4026
151504827,1/16/2015,1/15/2015,2210,1522,COLDWATER CANYON AV,VICTORY BL,"(34.1867, -118.4137)",3004 3036 3025 3101 3401 3701 4026
161504525,1/10/2016,1/10/2016,2220,1519,VANOWEN ST,CLYBOURN AV,"(34.194, -118.3637)",3004 3026 3036 3101 3401 3701 4015 3602
191501478,12/21/2019,12/21/2019,2235,1526,FARMDALE AV,BESSEMER ST,"(34.1804, -118.3812)",3003 3025 3029 3037 3101 4015
161509709,4/14/2016,4/13/2016,2240,1522,COLDWATER CANYON AV,SHERMAN WY,"(34.2012, -118.4138)",3004 3036 3026 3101 3401 3701 4026
191508448,3/28/2019,3/27/2019,2300,1524,LAUREL CANYON BL,VICTORY BL,"(34.1867, -118.3965)",3003 3026 3101 3401 3701 4026 3036 1218
171507288,2/25/2017,2/24/2017,2320,1585,VINELAND AV,HOLLYWOOD FY,"(34.143, -118.3727)",3004 3036 3026 3101 3401 3701 4026
181505740,2/3/2018,2/2/2018,2345,1539,CAHUENGA BL,BURBANK BL,"(34.1722, -118.3615)",3004 3037 3030 3028 3101 3401 3701 4026
191504941,1/19/2019,1/19/2019,2355,1583,LAUREL CANYON BL,VALLEYHEART DR,"(34.1467, -118.3964)",3004 3037 3034 3026 3101 3401 3701 4026
191505180,1/24/2019,1/24/2019,2355,1555,LA MAIDA ST,BAKMAN AV,"(34.1585, -118.3774)",3006 3028 3030 3037 3101 3401 3701 4026
161509836,4/16/2016,4/16/2016,5,1566,VINELAND AV,RIVERSIDE DR,"(34.1524, -118.3703)",3004 3036 3030 3028 3101 3401 3701 4026
161512566,6/5/2016,6/5/2016,5,1525,OXNARD ST,COLFAX AV,"(34.1794, -118.3877)",3004 3025 3037 3101 3401 3701 4015
151514494,7/7/2015,7/7/2015,15,1587,UNIVERSAL CENTER DR,BUDDY HOLLY DR,"(34.134, -118.352)",3004 3037 3028 3101 3401 3701 4026
191505221,1/25/2019,1/25/2019,20,1555,VINELAND AV,MAGNOLIA BL,"(34.1649, -118.3704)",3701 3004 3026 3029 3034 3036 3101 3401 4026
171518141,9/3/2017,9/3/2017,30,1544,WHITSETT AV,RIVERSIDE DR,"(34.1576, -118.4052)",
191512410,6/12/2019,6/10/2019,40,1506,ELMER AV,RUNNYMEDE ST,"(34.2057, -118.3769)",3004 3028 3030 3037 3101 3401 3701 4015
181506837,2/24/2018,2/24/2018,50,1503,SHERMAN WY,LAUREL CANYON BL,"(34.2006, -118.3965)",3004 3037 3030 3028 3101 3401 3701 4016
161513382,6/19/2016,6/19/2016,100,1595,BERRY DR,DECENTE DR,"(34.1372, -118.3804)",3003 3027 3037 3103 3401 3701 4026 3032
191518115,9/27/2019,9/27/2019,100,1589,FOREST LAWN DR,GREENWOOD WY,"(34.1528, -118.3229)",605
161521853,11/19/2016,11/19/2016,100,1545,CHANDLER,SIMPSON,"(34.1687, -118.3888)",3004 3030 3037 3028 3101 3401 3701 4015
191508977,4/6/2019,4/6/2019,100,1531,CHANDLER BL,COLDWATER CANYON AV,"(34.1687, -118.4138)",3004 3037 3039 3028 3030 3101 3401 3701 4026
151514490,7/7/2015,7/7/2015,100,1549,BURBANK BL,W SATSUMA AV,"(34.1722, -118.3675)",3006 3037 3030 3028 3101 3401 3701 4026
181518060,9/15/2018,9/15/2018,100,1513,WHITSETT AV,BURBANK BL,"(34.1966, -118.4061)",3004 3030 3028 3101 3401 3701 4015 3037
191510525,5/6/2019,4/10/2019,100,1503,HART,LAUREL CANYON BL,"(34.1976, -118.3965)",
181520818,11/6/2018,11/6/2018,110,1557,5000 VINELAND AV,,"(34.1594, -118.3657)",3006 3030 3028 3101 3701 4015 0605
161521819,11/20/2016,11/20/2016,120,1505,LANKERSHIM BL,SHERMAN WY,"(34.2012, -118.3878)",3004 3037 3030 3028 3101 3401 3701 4026
161519693,10/12/2016,10/12/2016,125,1596,VINELAND AV,VENTURA BL,"(34.1405, -118.3702)",3011 3036 3034 3028 3101 3401 3701 4015
151513089,6/11/2015,6/11/2015,125,1555,MAGNOLIA BL,TUJUNGA AV,"(34.1649, -118.379)",3004 3037 3029 3026 3101 3401 3701 4026
181519678,10/18/2018,10/18/2018,145,1522,VAN NOORD,LEMAY,"(34.1917, -118.4148)",3701 3006 3036 3030 3028 3101 3401 4026
191519221,10/19/2019,10/19/2019,145,1513,SHERMAN WY,WHITSETT AV,"(34.2012, -118.4052)",3004 3037 3025 3038 3101 3401 3701 4026 1402
181520845,11/1/2018,11/1/2018,150,1586,CAHUENGA,LANKERSHIM,"(34.1425, -118.3643)",3004 3037 3030 3028 3101 3401 3701 4015
151515858,8/2/2015,8/2/2015,155,1587,BUDDY HOLLY DR,UNIVERSAL CI DR,"(34.1361, -118.357)",0605 3011 3025 3102 3401 3701 4015
161519126,10/2/2016,10/2/2016,200,1517,VANOWEN ST,ELMER AV,"(34.194, -118.3768)",3006 3030 3028 3037 3101 3401 3701 4015
191522748,12/31/2019,12/29/2019,210,1547,MAGNOLIA BL,TUJUNGA AV,"(34.1649, -118.379)",3004 3037 3029 3101 4015 3026
171524139,12/24/2017,12/24/2017,220,1596,VINELAND AV,VENTURA BL,"(34.1405, -118.3702)",3011 3037 3034 3028 3101 3401 3701 4015
171504066,1/2/2017,12/31/2016,220,1549,CLEON AV,BURBANK BL,"(34.1722, -118.3686)",3701 4009 3006 3028 3030 3033 3035 3037 3101 3401
171515606,7/21/2017,7/21/2017,300,1549,AUCKLAND AV,MAGNOLIA BL,"(34.1649, -118.3604)",3006 3030 3028 3037 3101 3401 3701 4015
181505807,2/4/2018,2/4/2018,330,1548,TUJUNGA AV,CHANDLER BL,"(34.1681, -118.379)",3004 3037 3026 3101 3401 3701 4015
181507745,3/14/2018,3/11/2018,413,1503,SHERMAN WY,LANKERSHIM BL,"(34.2003, -118.4002)",3004 3029 3025 3101 3401 3701 4015 3037
191513627,6/26/2019,6/26/2019,425,1589,FOREST LAWN DR,MOUNT SINAI DR,"(34.1524, -118.3179)",3004 3037 3030 3028 3101 3401 3701 4015
181505534,1/31/2018,1/31/2018,430,1527,ELMER AV,CALVERT ST,"(34.1813, -118.3768)",3006 3037 3030 3028 3101 3401 3701 4026
151511190,5/10/2015,5/10/2015,430,1512,RAYMER ST,COLDWATER CANYON AV,"(34.2046, -118.4138)",3030 3028 3037 3101 3401 3701 4015 3006
