DR Number,Date Reported,Date Occurred,Time Occurred,Reporting District,Address,Cross Street,Location,MO Codes,Lat,Lon
191515731,8/16/2019,2019-08-15,2050,1591,LAUREL CANYON BL,SUNSHINE TR,"(34.1387, -118.3934)",3004 3036 3026 3101 3401 3701 4026,34.1387,-118.3934
191519831,10/30/2019,2019-10-30,45,1595,11500 VENTURA BL,,"(34.1397, -118.3817)",0605 3006 3036 3030 3028 3101 3401 3701 4015,34.1397,-118.3817
191513030,6/24/2019,2019-06-23,100,1557,CAHUENGA BL,CAMARILLO ST,"(34.1577, -118.3615)",3006 3026 3037 3101 3401 3701 4015,34.1577,-118.3615
191509868,4/23/2019,2019-04-22,130,1503,COHASSET ST,SHADYGLADE AV,"(34.2067, -118.4025)",3006 3037 3026 3101 3401 3701 4015,34.2067,-118.4025
191515523,8/11/2019,2019-08-11,150,1514,RADFORD AV,DEHOUGNE ST,"(34.1959, -118.3921)",3006 3028 3030 3101 3401 3701 4015 3037,34.1959,-118.3921
191522406,12/21/2019,2019-12-21,200,1513,WHITSETT AV,VANOWEN ST,"(34.194, -118.4052)",3030 3028 3101 4015 3006 3037,34.194,-118.4052
191510100,4/26/2019,2019-04-26,200,1504,RUNNYMEDE ST,RADFORD AV,"(34.2058, -118.3921)",3006 3037 3030 3028 3101 3401 3701 4015,34.2058,-118.3921
191515158,8/4/2019,2019-08-03,245,1529,OXNARD ST,WILLOWCREST AV,"(34.1794, -118.3627)",3006 3037 3030 3034 3028 3101 3401 3701 4015,34.1794,-118.3627
191518654,10/9/2019,2019-10-08,400,1563,COLFAX AV,CHIQUITA ST,"(34.1512, -118.3864)",3006 3037 3030 3028 3101 3401 3701 4015,34.1512,-118.3864
191520262,11/3/2019,2019-11-03,520,1503,ARCHWOOD ST,BELLINGHAM AV,"(34.1922, -118.3987)",3006 3037 3030 3028 3101 3401 3701 4015,34.1922,-118.3987
191519054,10/16/2019,2019-10-11,827,1513,BEEMAN AV,ARCHWOOD ST,"(34.1922, -118.4072)",3006 3028 3030 3037 3101 3401 3701 4015,34.1922,-118.4072
191516943,9/5/2019,2019-09-02,855,1591,VENTURA BL,WHITSETT AV,"(34.1427, -118.4052)",0605 4015 3006 3030 3028 3037 3033 3035 3101 3401,34.1427,-118.4052
191512758,6/19/2019,2019-06-18,1022,1519,6600 SATSUMA AV,,"(34.1904, -118.367)",3006 3037 3028 3039 3101 3401 3701 4015,34.1904,-118.367
191520159,11/6/2019,2019-11-06,1050,1523,VICTORY BL,WHITSETT AV,"(34.1867, -118.4052)",3004 3036 3025 3101 4026,34.1867,-118.4052
191518622,10/9/2019,2019-10-07,1305,1548,5300 LANKERSHIM BL,,"(34.167, -118.3759)",1300 0605 1501,34.167,-118.3759
191518274,10/1/2019,2019-09-23,1640,1527,VICTORY BL,BAKMAN AV,"(34.1867, -118.3779)",3004 3024 3036 3101 3401 3701 4015,34.1867,-118.3779
191522741,12/31/2019,2019-12-19,1700,1585,VENTURA BL,FRUITLAND DR,"(34.1419, -118.3741)",3006 3028 3030 3037 3032 3101 4015,34.1419,-118.3741
191520772,11/17/2019,2019-11-17,1700,1548,MAGNOLIA BL,CAHUENGA BL,"(34.1649, -118.3615)",1300 0605 3003 3037 3029 3026 3101 3401 3701 4015,34.1649,-118.3615
191519832,10/29/2019,2019-10-29,1715,1522,COLDWATER CANYON AV,VICTORY BL,"(34.1867, -118.4137)",3037 3004 3030 3028 3101 3701 4015,34.1867,-118.4137
191522439,12/23/2019,2019-12-23,1740,1569,TOLUCA LAKE AV,FORMAN AV,"(34.1493, -118.3527)",3006 3037 3028 3030 3103 4026,34.1493,-118.3527
191521755,12/11/2019,2019-12-10,1740,1525,VICTORY BL,CARPENTER,"(34.1867, -118.391)",3004 3037 3029 3026 3101 3401 3701 4009 0605,34.1867,-118.391
191520929,11/21/2019,2019-11-21,1840,1503,VANOWEN ST,VANTAGE AV,"(34.194, -118.3976)",3004 3037 3030 3028 3101 3401 3701 4026,34.194,-118.3976
191511597,5/24/2019,2019-05-22,1855,1526,HAMLIN ST,TROOST AV,"(34.1886, -118.3866)",3037 3006 3030 3028 3101 3401 4015,34.1886,-118.3866
191516234,8/26/2019,2019-08-24,1940,1521,GAULT ST,ETHEL AV,"(34.1994, -118.4181)",3006 3028 3030 3037 3101 3401 3701 4015,34.1994,-118.4181
191505943,2/6/2019,2019-02-05,2258,1513,WHITSETT AV,VOSE ST,"(34.1985, -118.4052)",3006 3030 3028 3037 3101 3401 3701 4015,34.1985,-118.4052
191518380,10/3/2019,2019-10-03,10,1513,WHITSETT AV,VANOWEN ST,"(34.194, -118.4052)",3006 3037 3602 3026 3101 3401 3701 4015 3039,34.194,-118.4052
191522277,12/20/2019,2019-12-20,15,1512,VANOWEN ST,GOODLAND AV,"(34.194, -118.4119)",3037 3006 3028 3101 4015,34.194,-118.4119
191511424,5/24/2019,2019-05-24,20,1523,BELLAIRE AV,CHARLESWORTH AV,"(34.1872, -118.4094)",3006 3037 3030 3028 3101 3401 3701 4026,34.1872,-118.4094
191513441,7/2/2019,2019-06-30,50,1557,CAMARILLO ST,SATSUMA AV,"(34.1577, -118.367)",3006 3037 3030 3028 3101 3401 3701 4015,34.1577,-118.367
191519293,10/21/2019,2019-10-21,105,1583,CARPENTER AV,VENTURA BL,"(34.1427, -118.3908)",4015 3011 3025 3034 3037 3101 3401 3701 3038,34.1427,-118.3908
191512388,6/12/2019,2019-06-11,110,1539,AUCKLAND AV,BURBANK BL,"(34.1722, -118.3604)",3037 3006 3026 3101 3401 3701 4015,34.1722,-118.3604
191508614,3/31/2019,2019-03-31,110,1513,WHITSETT AV,VANOWEN ST,"(34.194, -118.4052)",3037 3030 3028 3101 3401 3701 4015 3006,34.194,-118.4052
191518703,10/10/2019,2019-10-05,130,1501,SATICOY ST,FULTON AV,"(34.2084, -118.4236)",3011 3037 3034 3026 3101 3401 3701 4015,34.2084,-118.4236
191512320,6/11/2019,2019-06-11,131,1523,GILMORE ST,BELLAIRE AV,"(34.1876, -118.409)",3006 3036 3030 3028 3101 3401 3701 4026,34.1876,-118.409
191520325,11/9/2019,2019-11-09,140,1519,VICTORY BL,CLYBOURN AV,"(34.1867, -118.3637)",0605 3006 3037 3030 3028 3101 3401 3701 4015,34.1867,-118.3637
191508623,3/31/2019,2019-03-30,145,1532,VICTORY BL,WILKINSON AV,"(34.1867, -118.4041)",3006 3028 3030 3037 3101 3401 3701 4015,34.1867,-118.4041
191505661,2/2/2019,2019-02-02,155,1547,OTSEGO ST,TUJUNGA AV,"(34.1673, -118.3816)",3006 3030 3028 3036 3101 3401 3701 4015,34.1673,-118.3816
191520690,11/16/2019,2019-11-16,200,1521,VANOWEN ST,ATOLL AV,"(34.194, -118.421)",3006 3037 3030 3028 3101 3401 3701 4009,34.194,-118.421
191519302,10/21/2019,2019-10-19,205,1583,LAUREL CANYON BL,VALLEY SPRING LN,"(34.1467, -118.3964)",1300 0605 1501,34.1467,-118.3964
191515295,8/8/2019,2019-08-08,205,1553,RIVERSIDE DR,KRAFT AV,"(34.1577, -118.3801)",3011 3037 3034 3025 3101 3401 3701 4015,34.1577,-118.3801
191517767,9/23/2019,2019-09-22,210,1529,CAHUENGA BL,ERWIN ST,"(34.1831, -118.3615)",3006 3037 3030 3028 3101 3401 3701 4015,34.1831,-118.3615
191522747,12/31/2019,2019-12-29,215,1505,TUJUNGA AV,RUNNYMEDE ST,"(34.2057, -118.379)",3006 3037 3030 3028 3104 4015,34.2057,-118.379
191507257,3/3/2019,2019-03-02,230,1527,MAGNOLIA BL,HOLLYWOOD FY,"(34.1849, -118.3746)",3025 3037 3004 3029 3101 3401 3701 4015,34.1849,-118.3746
191517866,9/24/2019,2019-09-17,235,1531,CALIFA ST,BELLAIRE AV,"(34.1776, -118.4094)",3006 3030 3028 3037 3101 3401 3701 4015,34.1776,-118.4094
191517993,9/24/2019,2019-09-24,245,1525,LANKERSHIM BL,VICTORY BL,"(34.1867, -118.3877)",3034 3011 3037 3030 3028 3101 3401 3701 4015,34.1867,-118.3877
191520266,10/28/2019,2019-10-28,250,1531,BURBANK BL,BELLAIRE AV,"(34.1722, -118.4094)",3006 3037 3030 3028 3101 3401 3701 4015,34.1722,-118.4094
191517009,9/8/2019,2019-09-08,325,1525,OXNARD ST,CARPENTER AV,"(34.1794, -118.391)",3006 3026 3037 3101 3401 3701 4015,34.1794,-118.391
191521303,11/29/2019,2019-11-29,330,1543,CHANDLER ST,RHODES ST,"(34.1687, -118.4031)",3037 3006 3030 3028 3104 3401 3701 4015,34.1687,-118.4031
191514484,7/23/2019,2019-07-23,340,1523,KITTRIDGE ST,GOODLAND AV,"(34.1904, -118.4119)",3006 3037 3030 3028 3101 3401 3701 4015,34.1904,-118.4119
191516211,8/26/2019,2019-08-22,340,1504,SATICOY ST,MORELLA AV,"(34.2085, -118.39)",1300 0605 1501 3006 3037 3025 3101 3401 3701 4015,34.2085,-118.39
191520693,11/10/2019,2019-11-10,350,1501,LLOYD AV,WILLARD AV,"(34.2181, -118.4207)",3006 3028 3030 3037 3101 3401 3701 4015,34.2181,-118.4207
191514386,7/22/2019,2019-07-21,420,1513,WHITSETT AV,KITTRIDGE ST,"(34.1903, -118.4052)",3006 3028 3034 3037 3101 3401 3701 4015,34.1903,-118.4052
191515018,8/1/2019,2019-07-24,420,1522,COLDWATER CANYON AV,BASSETT AV,"(34.1958, -118.4138)",3006 3037 3030 3028 3101 3401 3701 4015,34.1958,-118.4138
191517635,9/19/2019,2019-09-19,425,1549,BURBANK BL,BAKMAN AV,"(34.1722, -118.3778)",3006 3037 3030 3028 3101 3401 3701 4015,34.1722,-118.3778
191518025,9/26/2019,2019-09-26,430,1517,TUJUNGA AV,VANOWEN ST,"(34.194, -118.379)",3011 3037 3039 3028 3101 3401 3701 4015,34.194,-118.379
191518270,10/1/2019,2019-09-15,435,1591,VANETTA DR,SUNSWEPT DR,"(34.1404, -118.4046)",3037 3011 3025 3101 3401 3701 4015,34.1404,-118.4046
191515872,8/19/2019,2019-08-15,500,1531,BURBANK BL,COLDWATER CA AV,"(34.174, -118.4095)",0605 3011 3036 3034 3026 3101 3401 3701 4015,34.174,-118.4095
191519404,10/23/2019,2019-10-22,500,1517,VANOWEN ST,BAKMAN AV,"(34.194, -118.3779)",4015 3006 3028 3030 3035 3037 3101 3401 3701,34.194,-118.3779
191516570,8/31/2019,2019-08-31,510,1506,RUNNYMEDE ST,FAIR AV,"(34.2057, -118.3747)",3006 3037 3030 3028 3101 3401 3701 4015,34.2057,-118.3747
191514853,7/28/2019,2019-07-28,520,1549,BURBANK BL,RIVERTON AV,"(34.1722, -118.3659)",3025 3006 3037 3101 3401 3701 4015,34.1722,-118.3659
191521118,11/25/2019,2019-11-22,530,1505,CANTLAY ST,IRVINE AV,"(34.2026, -118.3856)",3037 3104 3006 3030 3028 3401 3701 4015,34.2026,-118.3856
191519839,10/25/2019,2019-10-25,530,1501,WILLARD ST,FULTON AV,"(34.2182, -118.4189)",3006 3028 3030 3037 3101 3401 3701 4015,34.2182,-118.4189
191519847,10/31/2019,2019-10-21,600,1553,12000 KLING ST,,"(34.1558, -118.3943)",3006 3030 3028 3401 3701 4015 3101 0605 1300,34.1558,-118.3943
191514915,7/31/2019,2019-07-04,600,1519,KITTRIDGE ST,VINELAND AV,"(34.1903, -118.3703)",3011 3030 3028 3101 3701 4015 3037,34.1903,-118.3703
191519583,11/7/2019,2019-10-27,610,1502,BELLAIRE AV,STAGG ST,"(34.2118, -118.4108)",3006 3028 3030 3037 3101 3401 3701 4015,34.2118,-118.4108
191518293,10/1/2019,2019-09-30,630,1523,BELLAIRE AV,VICTORY BL,"(34.1869, -118.4094)",4015 3006 3030 3037 3035 3101 3401 3701 3028,34.1869,-118.4094
191512812,6/20/2019,2019-06-17,630,1517,HARTLAND ST,TUJUNGA AV,"(34.1952, -118.379)",3006 3028 3030 3037 3101 3401 3701 4015,34.1952,-118.379
191522743,12/27/2019,2019-12-27,643,1547,KILLION ST,BECK AV,"(34.1713, -118.3834)",3006 3028 3030 3037 3101 4015,34.1713,-118.3834
191518714,10/10/2019,2019-10-05,655,1549,CLYBOURN AV,CHANDLER BL,"(34.1697, -118.3568)",3011 3037 3030 3034 3028 3101 3401 3701 4015,34.1697,-118.3568
191515346,8/9/2019,2019-08-06,700,1503,VANOWEN ST,BELLINGHAM AV,"(34.194, -118.3987)",3006 3037 3030 3028 3101 3401 3701 4015,34.194,-118.3987
191515631,8/14/2019,2019-08-13,700,1513,BARBARA ANN ST,BABCOCK AV,"(34.2003, -118.4073)",3037 3006 3030 3028 3101 3401 3701 4015,34.2003,-118.4073
191510816,5/12/2019,2019-05-02,730,1512,BOSWORTH ST,CHARLESWORTH,"(34.191, -118.4099)",3037 3006 3030 3028 3104 3401 3701 4015,34.191,-118.4099
191521969,12/16/2019,2019-12-15,850,1599,MULHOLLAND DR,MULTIVIEW DR,"(34.1275, -118.3603)",3011 3026 3101 4015 3037,34.1275,-118.3603
191522581,12/23/2019,2019-12-23,900,1596,VENTURA BL,FRUITLAND DR,"(34.1411, -118.372)",1300 0605,34.1411,-118.372
191520267,11/6/2019,2019-11-06,900,1524,LAUREL CANYON BL,HAMLIN ST,"(34.1885, -118.3965)",3011 3028 3037 3102 4015 3032,34.1885,-118.3965
191514223,7/18/2019,2019-07-16,930,1524,VICTORY BL,BELLINGHAM AV,"(34.1867, -118.3987)",3004 3036 3026 3101 3401 3701 4026,34.1867,-118.3987
191516999,9/7/2019,2019-09-05,935,1599,WRIGHTWOOD DR,DONA ROSA,"(34.1311, -118.3752)",4015 3034 3004 3030 3028 3037 3033 3101 3401 3701,34.1311,-118.3752
191522357,12/19/2019,2019-12-19,1040,1543,MAGNOLIA BL,LAUREL CANYON BL,"(34.1649, -118.3965)",3006 3037 3030 3028 3101 4015,34.1649,-118.3965
191518282,10/1/2019,2019-09-28,1045,1529,OXNARD ST,CLEON AV,"(34.1794, -118.3681)",4015 3006 3030 3028 3037 3101 3401 3701,34.1794,-118.3681
191515520,8/12/2019,2019-08-11,1100,1567,CAHUENGA BL,BLOOMFIELD ST,"(34.1496, -118.3615)",3006 3037 3028 3039 3101 3401 3701 4015,34.1496,-118.3615
191516334,8/28/2019,2019-08-27,1100,1545,HOUSTON ST,CARPENTER AV,"(34.1649, -118.3921)",3006 3028 3030 3037 3101 3401 3701 4015,34.1649,-118.3921
191520273,11/7/2019,2019-11-06,1100,1535,COLFAX AV,COLLINS ST,"(34.174, -118.3877)",3006 3028 3030 3037 3101 3401 3701 4015,34.174,-118.3877
191517637,9/20/2019,2019-09-20,1100,1525,LAUREL CANYON BL,SYLVAN ST,"(34.1849, -118.3965)",3037 3006 3030 3028 3101 3401 3701 4015,34.1849,-118.3965
191504086,1/3/2019,2019-01-02,1115,1557,HORTENSE ST,RIVERTON AV,"(34.1548, -118.3666)",3006 3034 3028 3030 3101 3401 3701 4015 3036,34.1548,-118.3666
191515611,8/14/2019,2019-08-12,1130,1557,DENNY AV,CAMARILLO ST,"(34.1577, -118.3648)",3006 3037 3030 3028 3101 3401 4015,34.1577,-118.3648
191516770,9/3/2019,2019-09-02,1150,1526,LANKERSHIM BL,VICTORY BL,"(34.1867, -118.3877)",3004 3025 3037 3101 3401 3701 4015,34.1867,-118.3877
191521298,11/30/2019,2019-11-30,1211,1555,KLUMP AV,OTSEGO ST,"(34.163, -118.3757)",3037 3006 3030 3028 3101 3401 3701 4015,34.163,-118.3757
191512298,6/10/2019,2019-06-10,1250,1549,BURBANK BL,FULCHER AV,"(34.1722, -118.373)",3004 3036 3026 3101 3401 3701 4026,34.1722,-118.373
191519399,10/16/2019,2019-10-16,1315,1548,MAGNOLIA BL,LANKERSHIM BL,"(34.1649, -118.3746)",3602 3101 3006 3037 3034 3028 3401 3701 4015,34.1649,-118.3746
191511144,5/18/2019,2019-05-18,1325,1516,LANKERSHIM BL,KITTRIDGE ST,"(34.1903, -118.3877)",3037 3101 3006 3030 3028 3401 3701 4015,34.1903,-118.3877
191509915,4/21/2019,2019-04-21,1350,1589,FOREST LAWN DR,BARHAM BL,"(34.1432, -118.3414)",3039 3006 3037 3026 3101 3401 3701 4016,34.1432,-118.3414
191518799,10/13/2019,2019-10-10,1350,1545,MAGNOLIA BL,AGNES AV,"(34.1649, -118.3953)",3003 3036 3025 3101 3401 3701 4015,34.1649,-118.3953
191509783,4/21/2019,2019-04-18,1350,1503,VANOWEN ST,RHODES AV,"(34.2003, -118.4002)",3026 3101 3401 3701 4015 3006 3037,34.2003,-118.4002
191516214,8/26/2019,2019-08-25,1400,1596,EUREKA DR,VENTURA BL,"(34.1406, -118.376)",3037 3030 3028 3101 3401 3701 4015 3006 3032,34.1406,-118.376
191518543,10/7/2019,2019-10-07,1415,1535,TUJUNGA AV,TIARA ST,"(34.1785, -118.379)",4026 3004 3030 3028 3034 3036 3101 3401 3701 3033,34.1785,-118.379
191519194,10/16/2019,2019-10-16,1415,1527,FAIR AV,KITTRIDGE ST,"(34.1903, -118.3746)",3006 3028 3030 3037 3101 3401 3701 4015,34.1903,-118.3746
191514433,7/22/2019,2019-07-22,1420,1512,SHERMAN WY,COLDWATER CANYON AV,"(34.2012, -118.4138)",3004 3025 3037 3101 3401 3701 3034 4026,34.2012,-118.4138
191522701,12/29/2019,2019-12-29,1425,1581,MOORPARK ST,ATOLL AV,"(34.1504, -118.4203)",3006 3026 3037 3101 4015,34.1504,-118.4203
191510815,5/12/2019,2019-05-10,1450,1505,IRVINE AV,VALERIO ST,"(34.2049, -118.3856)",3006 3030 3028 3101 3401 3701 4015 3037,34.2049,-118.3856
191522742,12/31/2019,2019-12-28,1500,1531,OXNARD ST,WHITSETT AV,"(34.1794, -118.4052)",3006 3028 3030 3037 3101 4015,34.1794,-118.4052
191512267,6/10/2019,2019-06-05,1500,1529,CAHUENGA BL,ERWIN ST,"(34.1831, -118.3615)",3006 3028 3030 3037 3101 3401 3701 4015,34.1831,-118.3615
191513835,7/10/2019,2019-07-09,1545,1545,MAGNOLIA BL,BEN ST,"(34.1649, -118.3943)",3006 3037 3025 3101 3401 3701 4015,34.1649,-118.3943
191511623,5/28/2019,2019-05-24,1555,1502,COLDWATER CA AV,SATICOY,"(34.2111, -118.4106)",3011 3037 3034 3028 3101 3401 3701 4015,34.2111,-118.4106
191522060,12/16/2019,2019-12-16,1600,1569,FORMAN AV,NAVAJO ST,"(34.1493, -118.3527)",3037 3006 3028 3030 3101 4015,34.1493,-118.3527
191514391,7/22/2019,2019-07-18,1600,1511,SHERMAN WY,ETHEL AV,"(34.2012, -118.4182)",3029 3026 3101 3401 3701 4026 3003 3037,34.2012,-118.4182
191511995,6/3/2019,2019-06-03,1615,1519,VANOWEN,DENNY,"(34.194, -118.3648)",3006 3037 3030 3034 3028 3101 3401 3701 4026,34.194,-118.3648
191510182,4/19/2019,2019-04-19,1645,1562,MOORPARK ST,SAINT CLAIR,"(34.1504, -118.3998)",3006 3037 3026 3101 3401 3701 4015,34.1504,-118.3998
191514842,7/29/2019,2019-07-25,1650,1589,FOREST LAWN DR,COYOTE CANYON RD,"(34.1432, -118.3414)",3006 3037 3025 3101 3401 3701 4015,34.1432,-118.3414
191521075,11/24/2019,2019-11-24,1650,1539,AUCKLAND AV,TIARA ST,"(34.1786, -118.3604)",3004 3037 3028 3101 3401 3701 4016,34.1786,-118.3604
191514851,7/19/2019,2019-07-19,1730,1541,MAGNOLIA BL,GOODLAND AV,"(34.1649, -118.4115)",3036 3004 3028 3101 3401 3701 4015,34.1649,-118.4115
191520174,11/5/2019,2019-11-02,1800,1595,RADFORD AV,VENTURA BL,"(34.1436, -118.3929)",605,34.1436,-118.3929
191512907,6/21/2019,2019-06-20,1810,1506,VINELAND AV,SHERMAN WY,"(34.2012, -118.3703)",3012 3037 3030 3028 3102 3401 3701 4015,34.2012,-118.3703
191521312,11/29/2019,2019-11-29,1820,1531,OXNARD ST,WHITSETT AV,"(34.1794, -118.4052)",3037 3006 3030 3028 3101 3401 3701 4015,34.1794,-118.4052
191511621,5/28/2019,2019-05-22,1840,1501,7500 COLDWATER CANYON AV,,"(34.2125, -118.4195)",1300 0605 1501 3006 3037 3026 3101 3401 3701 4015,34.2125,-118.4195
191510775,5/11/2019,2019-05-08,1845,1595,VENTURA BL,CARPENTER AV,"(34.1427, -118.3908)",3004 3037 3028 3030 3101 3401 3701 4026,34.1427,-118.3908
191512868,6/21/2019,2019-06-19,1850,1503,SAINT CLAIR AV,HART ST,"(34.1976, -118.3998)",3008 3602 3025 3036 3101 3401 3701 4015 3038,34.1976,-118.3998
191510464,5/5/2019,2019-05-03,1900,1526,LANKERSHIM BL,GILMORE ST,"(34.1875, -118.3877)",3006 3037 3030 3028 3102 3401 3701 4015,34.1875,-118.3877
191515522,8/11/2019,2019-08-10,1900,1526,HAMLIN ST,CAMELLIA AV,"(34.1886, -118.3823)",3006 3037 3030 3028 3101 3401 3701 4015,34.1886,-118.3823
191519890,11/1/2019,2019-10-31,1940,1585,11100 AQUA VISTA ST,,"(34.145, -118.3725)",0605 3030 3037 3028 3101 3401 4015 3006,34.145,-118.3725
191521883,12/13/2019,2019-12-12,2000,1549,TUJUNGA AV,CUMPSTON ST,"(34.17, -118.379)",3006 3028 3030 3037 3101 4015,34.17,-118.379
191518965,10/14/2019,2019-10-14,2020,1504,COHASSET ST,LEMP AV,"(34.2045, -118.392)",3004 3037 3030 3028 3101 3401 3701 4026,34.2045,-118.392
191516489,8/30/2019,2019-08-29,2030,1527,VICTORY BL,VINELAND AV,"(34.1867, -118.3703)",3011 3037 3029 3034 3026 3101 3401 3701 4026,34.1867,-118.3703
191521670,12/7/2019,2019-12-07,2030,1504,SHERMAN WY,HINDS AV,"(34.2012, -118.391)",3006 3028 3030 3037 3101 3401 3701 4015,34.2012,-118.391
191522553,12/27/2019,2019-12-22,2045,1583,LAUREL CANYON BL,WOODBRIDGE,"(34.1486, -118.3965)",3006 3037 3026 3101 4015,34.1486,-118.3965
191508833,4/4/2019,2019-04-03,2055,1526,SYLVAN ST,COLFAX AV,"(34.1849, -118.3878)",3011 3037 3034 3028 3030 3101 3401 3701 4026,34.1849,-118.3878
191520264,11/8/2019,2019-11-06,2100,1516,VANOWEN ST,LEMP AV,"(34.194, -118.3845)",3011 3028 3030 3034 3037 3101 3401 3701 4015,34.194,-118.3845
191513378,7/1/2019,2019-06-29,2115,1555,HESBY ST,LANKERSHIM BL,"(34.1619, -118.3728)",3006 3037 3030 3028 3101 3401 3701 4015,34.1619,-118.3728
